Author_ID,First_Name,Last_Name,Email,Address,Mobile,NIC
24,James,Baldwin,james.baldwin@gmail.com,Sunset Boulevard Miami USA,+1-305-555-4321,L543210987
25,Gabriel,Garcia Marquez,gabriel.garcia.marquez@gmail.com,Silk Road Beijing China,+86-10-8765-4321,C765432109
26,Kurt,Vonnegut,kurt.vonnegut@gmail.com,Meadow Lane Sydney Australia,+61-2-8765-4321,A654321098
27,Albert,Camus,albertC@gmai.com,Mountain View Drive San Francisco USA,+1-415-555-1234,C54321098
28,James,Joyce,james.joyce@gmail.com,Ulysses Lane Dublin Ireland,+353-1-8765-4321,J876543210
29,Fyodor,Dostoevsky,fyodor.dostoevsky@gmail.com,Crime and Punishment Street St. Petersburg Russia,+7-812-555-1234,D543210987
30,George,Eliot,george.eliot@gmail.com,Middlemarch Lane Warwickshire UK,+44-1789-555-4321,E654321098
31,Thomas,Mann,thomas.mann@gmail.com,Magic Mountain Drive Lübeck Germany,+49-451-555-6789,M098765432
32,Henry,James,henry.james@gmail.com,Wings of the Dove Lane Massachusetts USA,+1-617-555-1234,J987654321
33,Nathaniel,Hawthorne,nathaniel.hawthorne@gmail.com,Scarlet Letter Street Salem USA,+1-978-555-4321,H876543210
34,Joseph,Conrad,joseph.conrad@gmail.com,Heart of Darkness Avenue London UK,+44-20-8765-4321,C098765432
35,William,Faulkner,william.faulkner@gmail.com,Yoknapatawpha Lane Oxford USA,+1-662-555-6789,F543210987
36,Jane,Austen,jane.austen@gmail.com,Pemberley Lane Hampshire UK,+44-1760-555-1234,A765432109
37,Edith,Wharton,edith.wharton@gmail.com,Age of Innocence Place New York USA,+1-212-555-4321,W654321098
38,Marcel,Proust,marcel.proust@gmail.com,Remembrance of Things Past Avenue Paris France,+33-1-8765-4321,P543210987
39,Homer,Homer,homer.homer@gmail.com,Odyssey Road Athens Greece,+30-210-555-4321,H765432109
40,Victor,Hugo,victor.hugo@gmail.com,Les Miserables Avenue Paris France,+33-1-8765-4321,H098765432
41,Anton,Chekhov,anton.chekhov@gmail.com,Cherry Orchard Lane Taganrog Russia,+7-8634-555-6789,C987654321
42,Plato,Plato,plato.plato@gmail.com,Republic Place Athens Greece,+30-210-555-1234,P321098765
43,Alexandre,Dumas,alexandre.dumas@gmail.com,Three Musketeers Boulevard Paris France,+33-1-8765-4321,D098765432
44,William,Blake,william.blake@gmail.com,Songs of Innocence Avenue London UK,+44-20-8765-4321,B098765432
45,George,Sand,george.sand@gmail.com,Consuelo Road Paris France,+33-1-8765-4321,S321098765
46,Henry,Fielding,henry.fielding@gmail.com,Tom Jones Lane Somerset UK,+44-1749-555-6789,F098765432
47,Jorge Luis,Borges,jorge.borges@gmail.com,Labyrinths Street Buenos Aires Argentina,+54-11-5555-1234,B765432109
48,Italo,Calvino,italo.calvino@gmail.com,Invisible Cities Avenue Turin Italy,+39-011-555-6789,C098765432
49,Herman,Hesse,herman.hesse@gmail.com,Siddhartha Street Calw Germany,+49-7051-555-1234,H543210987
50 ,James,Baldwin,james.baldwin@gmai.com,Meadow Lane Sydney Australia,+61-2-8765-4321,A654321098 
51,Thomas,Hardy,thomas.hardy@gmail.com,Lavender Lane London UK,+44-20-1234-5678,U987654321
52,Jack,London,jack.london@gmail.com,Ocean View Drive San Francisco USA,+1-415-555-6789,U876543210
53,Aldous,Huxley,aldous.huxley@gmail.com,Moonlight Avenue New York USA,+1-212-555-1234,U765432109
54,Edgar Allan,Poe,edgar.poe@gmail.com,Ravenwood Lane Boston USA,+1-617-555-4321,U654321098
55,H.G.,Wells,hg.wells@gmail.com,Time Traveler's Lane London UK,+44-20-8765-4321,W987654321
57,Oscar,Wilde,oscar.wilde@gmail.com,Dorian Gray Boulevard Dublin Ireland,+353-1-8765-4321,W543210987
58,Robert Louis,Stevenson,robert.stevenson@gmail.com,Treasure Island Way Edinburgh Scotland,+44-131-555-6789,S876543210
59,Lewis,Carroll,lewis.carroll@gmail.com,Wonderland Lane Oxford UK,+44-1865-555-1234,C765432109
61,William,Faulkner,william.faulkner@gmail.com,Yoknapatawpha Lane Oxford USA,+1-662-555-6789,F543210987
62,Jane,Austen,jane.austen@gmail.com,Pemberley Lane Hampshire UK,+44-1760-555-1234,A765432109
63,Edith,Wharton,edith.wharton@gmail.com,Age of Innocence Place New York USA,+1-212-555-4321,W654321098
64,Marcel,Proust,marcel.proust@gmail.com,Remembrance of Things Past Avenue Paris France,+33-1-8765-4321,P543210987
65,James Joyce,Joyce,james.joyce@gmail.com,Ulysses Lane Dublin Ireland,+353-1-8765-4321,J876543210
67,Fyodor,Dostoevsky,fyodor.dostoevsky@gmail.com,Crime and Punishment Street St. Petersburg Russia,+7-812-555-1234,D543210987
68,George Eliot,Eliot,george.eliot@gmail.com,Middlemarch Lane Warwickshire UK,+44-1789-555-4321,E654321098
70,Thomas Mann,Mann,thomas.mann@gmail.com,Magic Mountain Drive Lübeck Germany,+49-451-555-6789,M098765432
71,Henry James,James,henry.james@gmail.com,Wings of the Dove Lane Massachusetts USA,+1-617-555-1234,J987654321
72,Nathaniel,Hawthorne,nathaniel.hawthorne@gmail.com,Scarlet Letter Street Salem USA,+1-978-555-4321,H876543210
73,Joseph Conrad,Conrad,joseph.conrad@gmail.com,Heart of Darkness Avenue London UK,+44-20-8765-4321,C098765432
76,Homer,Homer,homer.homer@gmail.com,Odyssey Road Athens Greece,+30-210-555-4321,H765432109
77,Victor Hugo,Hugo,victor.hugo@gmail.com,Les Miserables Avenue Paris France,+33-1-8765-4321,H098765432
78,Anton,Chekhov,anton.chekhov@gmail.com,Cherry Orchard Lane Taganrog Russia,+7-8634-555-6789,C987654321
79,Plato,Plato,plato.plato@gmail.com,Republic Place Athens Greece,+30-210-555-1234,P321098765
80,Alexandre,Dumas,alexandre.dumas@gmail.com,Three Musketeers Boulevard Paris France,+33-1-8765-4321,D098765432
82,William Blake,Blake,william.blake@gmail.com,Songs of Innocence Avenue London UK,+44-20-8765-4321,B098765432
81,James,"Baldwin","james.baldwin@gmail.com",Go Tell It on the Mountain Street New York USA,+1-212-555-6789,B765432109
83,George Sand,Sand,george.sand@gmail.com,Consuelo Road Paris France,+33-1-8765-4321,S321098765
84,Henry Fielding,Fielding,henry.fielding@gmail.com,Tom Jones Lane Somerset UK,+44-1749-555-6789,F098765432
85,Jorge Luis Borges,Borges,jorge.borges@gmail.com,Labyrinths Street Buenos Aires Argentina,+54-11-5555-1234,B765432109
86,Italo Calvino,Calvino,italo.calvino@gmail.com,Invisible Cities Avenue Turin Italy,+39-011-555-6789,C098765432
87,Henry James," James"," henry.james@gmail.com",The Turn of the Screw Street Massachusetts USA,+1-617-555-1234,J876543210
88,Leo Tolstoy," Tolstoy"," leo.tolstoy@gmail.com",War and Peace Lane Moscow Russia,+7-495-555-4321,T765432109
89,Ernest Hemingway," Hemingway"," ernest.hemingway@gmail.com",For Whom the Bell Tolls Boulevard Key West USA,+1-305-555-6789,H098765432
90,Virginia Woolf," Woolf"," virginia.woolf@gmail.com",Mrs. Dalloway Lane London UK,+44-20-8765-4321,W321098765
91,Jane Austen," Austen"," jane.austen@gmail.com",Pride and Prejudice Avenue Hampshire UK,+44-1760-555-6789,A098765432
92,Franz Kafka," Kafka"," franz.kafka@gmail.com",Metamorphosis Street Prague Czech Republic,+420-123-555-1234,K98765432193,James Baldwin," Baldwin"," james.baldwin@gmail.com",Go Tell It on the Mountain Street New York USA,+1-212-555-6789,B765432109
93,James Baldwin," Baldwin"," james.baldwin@gmail.com",Go Tell It on the Mountain Street New York USA,+1-212-555-6789,B765432109
94,F. Scott Fitzgerald," Fitzgerald"," f.scott.fitzgerald@gmail.com",The Great Gatsby Road New York USA,+1-212-555-1234,F321098765
95,J.R.R. Tolkien," Tolkien"," jrr.tolkien@gmail.com",The Hobbit Boulevard Oxford UK,+44-1865-555-4321,T098765432
96,Agatha Christie," Christie"," agatha.christie@gmail.com",Murder on the Orient Express Lane Devon UK,+44-1628-555-6789,C098765432
97,Toni Morrison," Morrison"," toni.morrison@gmail.com",Beloved Street Ohio USA,+1-513-555-1234,M321098765
98,Stephen King," King"," stephen.king@gmail.com",The Shining Road Maine USA,+1-207-555-6789,K098765432
99,Maya Angelou," Angelou"," maya.angelou@gmail.com",I Know Why the Caged Bird Sings Lane North Carolina USA,+1-919-555-4321,A987654321
100,Herman Melville," Melville"," herman.melville@gmail.com",Moby Dick Boulevard Massachusetts USA,+1-413-555-6789,M876543210


